Reference,Value,Qty,Note,Description
C2,"330uF, 16V",1,Maximum height is 10mm,
D1,1N5401,1,> 2A rectifier. Shottky is good,
J2 J3,CONN_06SILK_FEMALE_PTH,2,"6 pin header, 0.1"", male",
J4,POWER,1,"0.1"" pitch, polarised, any type",
J1,SENSORS,1,"14 pin header, 0.1"", male",
M1,Left Motor,1,commercial mounts need bushing for screws,
M2,Right Motor,1,commercial mounts need bushing for screws,
S1,"sub-miniature, SPDT",1,"Toggle or slide, 0.1"" pitch pins, EG Salecom TS-4-TE1CR-E-H-Z03",
